symbol	section	namespace	name	GMSJ01	GMSJ01.size	GMSE01	GMSE01.size	GMSP01	GMSP01.size	GMSJ0A	GMSJ0A.size
@2150	.rodata	Enemy	@2150	8039BFBC	20	8037DEF4	20	8037595C	20	8036E2CC	20
@2378	.rodata	Enemy	@2378	8039BFD0	47	8037DF08	47	80375970	47	8036E2E0	47
@2379	.rodata	Enemy	@2379	8039C000	53	8037DF38	53	803759A0	53	8036E310	53
@2380	.rodata	Enemy	@2380	8039C038	49	8037DF70	49	803759D8	49	8036E348	49
@2381	.rodata	Enemy	@2381	8039C06C	36	8037DFA4	36	80375A0C	36	8036E37C	36
@3033	.rodata	Enemy	@3033	8039C090	35						
@3034	.rodata	Enemy	@3034	8039C0B4	35						
@3035	.rodata	Enemy	@3035	8039C0D8	36						
@3036	.rodata	Enemy	@3036	8039C0FC	40						
@3037	.rodata	Enemy	@3037	8039C124	39						
@3111	.rodata	Enemy	@3111	8039C14C	18						
@3262	.rodata	Enemy	@3262	8039C160	12						
@3264	.rodata	Enemy	@3264	8039C16C	12						
@3318	.rodata	Enemy	@3318	8039C178	19	8037E0D0	10	80375B38	10	8036E4A8	10
@3324	.rodata	Enemy	@3324	8039C18C	10						
@3325	.rodata	Enemy	@3325	8039C198	10						
@3338	.rodata	Enemy	@3338	8039C1A4	18						
@4331	.rodata	Enemy	@4331	8039C1B8	13						
@4332	.rodata	Enemy	@4332	8039C1C8	34						
@4580	.rodata	Enemy	@4580	8039C1EC	19						
@4597	.rodata	Enemy	@4597	8039C200	9						
@4612	.rodata	Enemy	@4612	8039C20C	29						
@4613	.rodata	Enemy	@4613	8039C22C	25						
@4644	.rodata	Enemy	@4644	8039C248	20						
@4645	.rodata	Enemy	@4645	8039C25C	20						
@4646	.rodata	Enemy	@4646	8039C270	14						
@4647	.rodata	Enemy	@4647	8039C280	13						
@4649	.rodata	Enemy	@4649	8039C290	14						
@4650	.rodata	Enemy	@4650	8039C2A0	17						
@4681	.rodata	Enemy	@4681	8039C2B4	40						
@4682	.rodata	Enemy	@4682	8039C2DC	11						
@5391	.rodata	Enemy	@5391	8039C2E8	19						
@5395	.rodata	Enemy	@5395	8039C2FC	9						
@5428	.rodata	Enemy	@5428	8039C308	18						
@5429	.rodata	Enemy	@5429	8039C31C	23						
@5447	.rodata	Enemy	@5447	8039C334	38						
@5448	.rodata	Enemy	@5448	8039C35C	19						
@1490	.rodata	Enemy	@1490	8039C370	12	8037E2A8	12	80375D10	12	8036E680	12
@2115	.rodata	Enemy	@2115	8039C37C	20	8037E2B4	20	80375D1C	20	8036E68C	20
